운영상태,도로명전체주소,소재지전체주소,시설위치(지상/지하),시설면적(㎡),최대수용인원,위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
사용중지,부산광역시 서구 아미로 132-1 (아미동2가),부산광역시 서구 아미동2가 89번지,지하,2500.0,3030,35.098830607030735,129.0156196502439,1138141.809406,1679238.779815
사용중,부산광역시 서구 천해로 39 (암남동),부산광역시 서구 암남동 2번지 1호,지하,360.0,436,35.08426251005756,129.01509545564448,1138118.596127,1677622.288874
사용중,"부산광역시 서구 흑교로 106(동대신동1가, 진흥목화아파트)",부산광역시 서구 동대신동1가 339-5 진흥목화아파트,지하,1079.85,1308,35.107808187740424,129.02127584129315,1138642.180121,1680242.354612
사용중,"부산광역시 서구 천마로 87, 남부민2동 주민센터 (남부민동)",부산광역시 서구 남부민동 456-6 남부민2동 주민센터,지하,356.18,431,35.08442189957446,129.02063061283175,1138622.960893,1677647.652784
사용중,"부산광역시 서구 충무대로 56 (암남동, 송도탑스빌)",부산광역시 서구 암남동 257-1 송도탑스빌,지하,4013.0,4864,35.078123804782386,129.01859360728304,1138447.892807,1676946.292921
사용중,부산광역시 서구 구덕로 127 (토성동5가),부산광역시 서구 토성동5가 56-4,지하,583.0,706,35.096463458218494,129.02205936928098,1138732.818529,1678985.185397
사용중,"부산광역시 서구 보수대로 27 (토성동1가, 토성동 경동 리인타워)",부산광역시 서구 토성동1가 25-1 토성동 경동 리인타워,지하,22363.0,27106,35.0993188040565,129.024406755849,1138941.9497887022,1679305.147283193
사용중,"부산광역시 동구 충장대로 351, 부산지방해양수산청 (좌천동)",부산광역시 동구 좌천동 1116-1 부산지방해양수산청,지하,244.0,295,35.12917100357444,129.05729145562194,1141887.69605,1682662.485295
사용중,부산광역시 동구 조방로 48(범일동),부산광역시 동구 범일동 830-24,지하,1643.0,1991,35.14079646410175,129.0606018793148,1142169.123174,1683956.62013
사용중,"부산광역시 동구 중앙대로 지하350, 부산진역 (초량동)",부산광역시 동구 초량동 1170 부산진역,지하,8118.0,9840,35.12718850080987,129.04737304568042,1140987.354159,1682428.508137
사용중,"부산광역시 동구 중앙대로 192, 한국교직원공제회 부산회관 (초량동)",부산광역시 동구 초량동 1205-1 한국교직원공제회 부산회관,지하,2331.0,2825,35.114406899750485,129.03959122543105,1140300.183458,1680999.880498
사용중,부산광역시 동구 자성로133번길 50(범일동),부산광역시 동구 범일동 830-74,지하,922.0,1117,35.141016661083846,129.06251553662784,1142343.086501,1683983.778504
사용중,부산광역시 동구 조방로42번길 6(범일동),부산광역시 동구 범일동 830-117,지하,661.0,801,35.140584441328414,129.06149080171156,1142250.478829,1683934.374452
사용중,"부산광역시 동구 성남로 27, 대한통운 (좌천동)",부산광역시 동구 좌천동 68-31 대한통운,지하,264.0,320,35.12891166205992,129.05410025352836,1141597.364484,1682629.176847
사용중,부산광역시 동구 조방로 22(범일동),부산광역시 동구 범일동 830-138,지하,574.0,695,35.13896152626028,129.0623643268494,1142332.888764,1683755.621469
사용중,부산광역시 동구 중앙대로 지하200(초량동),부산광역시 동구 초량동 1206-1,지하,8126.0,9849,35.115013487462925,129.03962515193555,1140302.235213,1681067.206132
사용중,"부산광역시 동구 중앙대로 지하264, 초량역 (초량동)",부산광역시 동구 초량동 1170 초량역,지하,5541.0,6716,35.120358593032265,129.04262054552456,1140566.036335,1681664.267494
사용중,부산광역시 동구 범일로 지하108(범일동),부산광역시 동구 범일동 949,지하,4040.0,4896,35.13991402765046,129.0594333766186,1142064.198552,1683857.077871
사용중,"부산광역시 동구 정공단로 34, 일신기독병원 (좌천동)",부산광역시 동구 좌천동 432 일신기독병원,지하,1939.38,2350,35.13560133817636,129.05460006019428,1141631.318726,1683371.856815
사용중,부산광역시 동구 중앙대로 지하446(좌천동),부산광역시 동구 좌천동 236,지하,6438.0,7803,35.133673111720576,129.0537601506067,1141558.131166,1683156.797348
사용중,"부산광역시 동구 중앙대로 263, 국제오피스텔 (초량동)",부산광역시 동구 초량동 1147-14 국제오피스텔,지하,1322.0,1602,35.1204482361299,129.0421214281995,1140520.398237,1681673.50543
