경도,위도,최대수용인원,도로명주소,대피소 종류,시설면적(㎡),운영상태
129.03179863015137,35.11101184074604,195,부산광역시 중구 동영로 65 ,민방위,161.0,사용중
129.02940479690352,35.11039307520695,224,부산광역시 중구 망양로383번안길 25 ,민방위,185.0,사용중
129.03350411743344,35.10269459745577,191,부산광역시 중구 대청로 124,민방위,158.0,사용중
129.02867432748124,35.10284872191825,720,부산광역시 중구 대청로 80 ,민방위,594.0,사용중
129.02767139245088,35.103230337019895,520,부산광역시 중구 대청로 71 ,민방위,429.0,사용중
129.03006171953783,35.113183193012574,1442,부산광역시 중구 영주로 65 ,민방위,1190.0,사용중
129.03018397718486,35.11173408579602,2315,부산광역시 중구 영주로 51 ,민방위,1910.0,사용중
129.02917613709835,35.103856269483565,1929,부산광역시 중구 중구로 74 ,민방위,1592.0,사용중
129.02412698030088,35.10329873648999,340,부산광역시 중구 대청로 37 ,민방위,281.0,사용중
129.01970770646864,35.09998572256005,6800,"부산광역시 서구 구덕로 170,  1층 ",민방위,5610.0,사용중
129.0179152489204,35.11003263799455,3528,부산광역시 서구 구덕로  290 ,민방위,2911.0,사용중
129.01774836384195,35.10923582611301,603,부산광역시 서구 구덕로285번길 7 ,민방위,498.0,사용중지
129.01351406440315,35.11001387934607,2412,부산광역시 서구 대영로 16 ,민방위,1990.71,사용중
129.0122215614727,35.11088144291675,8200,부산광역시 서구 대영로  1 ,민방위,6765.0,사용중
129.01965434717937,35.10147241834857,1676,"부산광역시 서구 구덕로 187,  1층 ",민방위,1383.0,사용중
129.01962005464472,35.1006473673956,600,"부산광역시 서구 구덕로 179, 부산대학병원  1층 ",민방위,495.0,사용중지
129.01970770646864,35.09998572256005,6800,"부산광역시 서구 구덕로 170,  1층 ",민방위,5610.0,사용중
129.0247828466889,35.09692890576239,7600,부산광역시 서구 구덕로 102-1 ,민방위,6270.0,사용중
129.00954413966411,35.108634204362936,8520,부산광역시 서구 대티로108번길 8,민방위,7029.0,사용중지
129.01967089759648,35.10974490936986,265,부산광역시 서구 대영로74번길 17 ,민방위,219.0,사용중지
129.01967095745184,35.108385865209016,349,부산광역시 서구 구덕로 266,민방위,288.0,사용중지
129.02025857434535,35.107858970444966,666,부산광역시 서구 구덕로 258 서구대성학원),민방위,550.0,사용중
129.02102849746552,35.110649241939164,202,부산광역시 서구 대영로90번길 9 ,민방위,167.0,사용중지
129.02477217445954,35.1125901496875,240,"부산광역시 서구 대영로112번길 40, 1층 ",민방위,198.0,사용중
129.02129298866777,35.11378995033401,400,"부산광역시 서구 보수대로 202-50, 신광교회  1,2층 ",민방위,330.0,사용중
129.01659005247714,35.12019997735166,3041,부산광역시 서구 대신공원로 26 ,민방위,2509.0,사용중
129.01831720964458,35.11431520125996,512,부산광역시 서구 대영로85번길 81-19 ,민방위,423.0,사용중지
129.01638745563946,35.11484148033557,732,부산광역시 서구 구덕로346번길 17 ,민방위,604.0,사용중
129.0155280513909,35.11483750910264,800,부산광역시 서구 구덕로 350 ,민방위,660.0,사용중지
129.01724055208953,35.11387765403119,169,부산광역시 서구 구덕로334번길 26 ,민방위,140.0,사용중
129.0115054949297,35.11253465769651,1400,부산광역시 서구 대티로 170 ,민방위,1155.0,사용중지
