연번,단지명,주소,동수,층수,연면적,세대수
43,명일리치빌,부산광역시 연제구 연산5동 1386-11,1,13,2944.13,24
43,해오름아트빌,부산광역시 연제구 연산5동 1293-11,1,12,2269.93,50
43,신화시티빌,부산광역시 연제구 연산5동 1495-22,1,12,2557.01,25
43,신풍골든,부산광역시 연제구 연산5동 1289-20,1,14,2961.14,24
43,동서하이빌,부산광역시 연제구 연산2동 1637-1,3,10,14158.7602,113
43,금광타워,부산광역시 연제구 연산9동 418-31,1,15,4792.77,39
43,성원맨투로빌,부산광역시 연제구 거제3동 739-1,1,19,16508.047,114
43,청마마이우스,부산광역시 연제구 거제1동 150-8,1,15,9942.42,169
43,진흥하늘이,부산광역시 연제구 거제3동 739-10,1,21,10833.19,80
43,희망센트럴뷰,부산광역시 연제구 연산2동 1310-87,1,20,9748.86,67
43,신일아트빌,부산광역시 연제구 연산6동 1837-5,1,15,5477.75,39
43,동원로얄듀크(3차),부산광역시 연제구 거제1동 1472,1,15,10107.6307,82
43,유림아시아드타워,부산광역시 연제구 거제4동 768-1,3,25,45443,408
43,시청역 SK VIEW,부산광역시 연제구 거제1동1465-3,4,25,47221,298
43,홍익푸르미,부산광역시 연제구 연산5동 1384-3,1,10,5369.3,40
43,희망센트럴뷰,부산광역시 연제구 거제3동 588-4,1,15,16467.744,95
43,벽산이-메타폴리스,부산광역시 연제구 거제1동 139-1,3,34,47429,394
43,연산동현대홈타운,부산광역시 연제구 연산7동 2022-587,4,24,58648,410
43,거제동월드메르디앙,부산광역시 연제구 거제1동 1468-1,10,27,242763,1156
43,동원베네스트,부산광역시 연제구 연산8동 346-11,3,15,17490,150
43,연산동 에스케이 뷰(1단지),부산광역시 연제구 연산4동 587-4,1,35,77208,329
43,연산동한일유앤아이,부산광역시 연제구 연산4동 1136-5,3,23,52196,412
43,온천천쌍용예가아파트,부산광역시 연제구 거제1동 1466-17,4,25,50620,336
43,삼익퓨쳐타워아파트,부산광역시 연제구 거제1동 36-8,1,34,48319,313
43,센텀수영강푸르지오아파트,부산광역시 연제구 연산9동 129,7,15,54627,430
43,거제동2차월드메르디앙,부산광역시 연제구 거제1동 1502,2,25,26242,142
43,거제유림노르웨이숲,부산광역시 연제구 거제1동 1503,6,23,59940,418
43,양지마을,부산광역시 연제구 연산9동 405-2,1,10,4972.36,45
43,거제동 한일유앤아이,부산광역시 연제구 거제1동 18-3,2,32,38521,202
43,한솔솔파크,부산광역시 연제구 연산9동 406-10,1,21,26966,165
43,월드마크아시아드,부산광역시 연제구 거제2동 898-1,2,36,67323,299
43,연제힐스테이트,부산광역시 연제구 연산2동 862,4,15,48342,220
43,연산동에이젠,부산광역시 연제구 연산5동 1299-6,1,13,5626.9375,43
43,(주)나경주택,부산광역시 연제구  연산5동 704-8,1,6,791.844,24
43,남강Sweet,부산광역시 연제구  연산5동 1386-20,1,6,553.7955,20
43,흑석푸른마을2,부산광역시 연제구  연산5동 706-14,1,6,671.2848,20
43,흑석푸른마을1,부산광역시 연제구  연산5동 706-9,1,6,647.0623,20
43,연산자이,부산광역시 연제구  연산1동 2262,19,28,316891,1598
43,마티에르,부산광역시 연제구 연산5동 1255-12,1,6,559.54,20
43,로얄캐슬,부산광역시 연제구 연산5동 1405-41,1,6,667.99,20
43,아시아드푸르지오,부산광역시 연제구 거제2동 1506,6,27,85254,478
43,거제동 롯데캐슬피렌체,부산광역시 연제구 거제2동 1510,3,36,83882,364
43,홍림골든빌,부산광역시 연제구 연산5동 1386-2,1,7,647.06,22
