주소,세대수,위도,경도
부산광역시 기장군 기장읍 차성동로122번길 30,102,35.2483023,129.2185463
부산광역시 기장군 기장읍 차성로 442,108,35.2547034,129.218305
부산광역시 기장군 기장읍 차성동로154번길 28,98,35.2529814,129.2189242
부산광역시 기장군 기장읍 차성로417번길 21,299,35.2562723,129.2150817
부산광역시 기장군 정관읍 달산리 141-3,100,35.3217987,129.1950346
부산광역시 기장군 기장읍 차성로436번길 19,87,35.2544604,129.2198722
부산광역시 기장군 기장읍 기장대로 563,930,35.2445668,129.219932
부산광역시 기장군 기장읍 차성남로 13-6,159,35.2417927,129.2100386
부산광역시 기장군 기장읍 차성로344번길 13,1131,35.2488042,129.2153372
부산광역시 기장군 기장읍 차성동로 164,46,35.2524858,129.2175483
부산광역시 기장군 기장읍 차성로441번길 7,454,35.255348,129.2183902
부산광역시 기장군 기장읍 차성로412번길 37,42,35.2521082,129.2153533
부산광역시 기장군 기장읍 배산로8번길 65,227,35.2501371,129.2107954
부산광역시 기장군 기장읍 배산로8번길 51,249,35.2512378,129.2095824
부산광역시 기장군 기장읍 차성서로 123,702,35.24471339999999,129.209454
부산광역시 기장군 기장읍 차성로216번길 26,28,35.2364314,129.2147289
부산광역시 기장군 기장읍 무양로 16,49,35.225489,129.2257136
부산광역시 기장군 기장읍 차성동로 168-20,44,35.2524847,129.2183281
