학교명,도로명주소,위도,경도
개금초등학교,부산광역시 부산진구 가야대로443번길 25-10,35.15452351,129.0195961
경남공업고등학교,부산광역시 부산진구 전포대로175번길 22,35.15334824,129.0636387
용문초등학교,부산광역시 남구 신선로 542,35.13067534,129.1081405
금성초등학교,부산광역시 금정구 중리1길 15,35.25063811,129.0573705
영도초등학교,부산광역시 영도구 꿈나무길 41,35.09012596,129.0462132
중현초등학교,부산광역시 사하구 다대낙조2길 8,35.0511217,128.9664641
남성초등학교,부산광역시 중구 샘길 14,35.10571479,129.0344121
삼성중학교,부산광역시 사하구 감천로43번길 45-2,35.09455788,128.9991612
송도중학교,부산광역시 서구 해양로 15,35.08289193,129.022422
좌산초등학교,부산광역시 해운대구 좌동순환로311번길 7,35.16885764,129.1838569
이사벨고등학교,부산광역시 연제구 중앙대로 1197,35.19353414,129.077938
해운대중학교,부산광역시 해운대구 우동2로30번길 99,35.17179105,129.1619616
부산고등학교,부산광역시 동구 초량로40번길 23,35.12146725,129.0366296
부산여자상업고등학교,부산광역시 수영구 금련로 43,35.16911499,129.0964447
금양초등학교,부산광역시 금정구 중앙대로 1755,35.24123522,129.0920128
대청중학교,부산광역시 기장군 기장읍 차성서로 3,35.2333144,129.2128169
사직여자중학교,부산광역시 동래구 사직로 91,35.19429438,129.0553468
부흥중학교,부산광역시 해운대구 좌동순환로 226,35.17518509,129.1788134
개화초등학교,부산광역시 부산진구 개금본동로66번길 12-12,35.15857553,129.020604
개금여자중학교,부산광역시 부산진구 백양대로136번길 75,35.16323811,129.032608
부산예술중학교,부산광역시 금정구 체육공원로 20,35.24704234,129.0981972
장안제일고등학교,부산광역시 기장군 장안읍 좌천2길 43,35.31450466,129.2407786
포천초등학교,부산광역시 북구 시랑로 115,35.19664206,129.0091031
광일초등학교,부산광역시 중구 중구로 74,35.1040039,129.029845
대연고등학교,부산광역시 남구 조각공원로 20,35.12879874,129.1019811
동백초등학교,부산광역시 해운대구 좌동순환로357번길 6,35.16401941,129.1812187
봉삼초등학교,부산광역시 영도구 함지로79번길 39,35.07478658,129.0636181
신도초등학교,부산광역시 해운대구 좌동순환로 34,35.16948324,129.1673801
장산초등학교,부산광역시 해운대구 선수촌로 68,35.20004201,129.1196543
덕문여자고등학교,부산광역시 수영구 연수로310번길 114,35.16774439,129.1036484
분포고등학교,부산광역시 남구 분포로 57,35.12981258,129.115149
덕양초등학교,부산광역시 북구 함박봉로 42,35.2092991,129.0230937
양동여자중학교,부산광역시 부산진구 황령산로605번길 35-32,35.1701929,129.0810001
계성여자상업고등학교,부산광역시 연제구 해맞이로109번길 47,35.18297547,129.0678658
용당초등학교,부산광역시 남구 신선로 341,35.11669795,129.0939473
백산초등학교,부산광역시 북구 덕천로259번길 23,35.21200432,129.032752
대연초등학교,부산광역시 남구 진남로18번길 11,35.1372365,129.0922864
양동초등학교,부산광역시 부산진구 황령산로605번길 35-10,35.17152018,129.0810439
구덕초등학교,부산광역시 서구 보수대로 312,35.1204163,129.0125412
당리초등학교,부산광역시 사하구 다대로 22번길 12,35.09991131,128.9756932
부산동여자고등학교,부산광역시 수영구 남천서로32번길 39,35.14602702,129.1047285
개금고등학교,부산광역시 부산진구 백양대로208번길 71,35.16087702,129.0256396
덕천중학교,부산광역시 북구 만덕대로65번길 50,35.21423402,129.0118134
거학초등학교,부산광역시 연제구 교대로24번길 36,35.19747831,129.0768469
부흥고등학교,부산광역시 해운대구 좌동순환로 248,35.17367376,129.180577
동백중학교,부산광역시 해운대구 좌동순환로468번가길 97,35.16584538,129.1743447
연천초등학교,부산광역시 연제구 과정로225번길 46,35.18621999,129.1004919
반여중학교,부산광역시 해운대구 재반로256번길 57-12,35.19992192,129.1361577
브니엘예술고등학교,부산광역시 금정구 체육공원로 154,35.25485306,129.1039264
덕포여자중학교,부산광역시 사상구 사상로310번길 110,35.17036935,128.9861577
부흥초등학교,부산광역시 해운대구 좌동순환로 216,35.17571116,129.1781936
개림중학교,부산광역시 부산진구 백양대로300번길 46,35.15742419,129.0179689
덕두초등학교,부산광역시 강서구 공항로791번길 68,35.17564815,128.9558698
다송초등학교,부산광역시 사하구 다대로381번길 17,35.06932631,128.9798381
부산자동차고등학교,부산광역시 사하구 하신중앙로3번나길 16,35.07556112,128.9643074
송운초등학교,부산광역시 해운대구 신반송로 20,35.22861126,129.1573917
구평초등학교,부산광역시 사하구 사하로 9,35.08661941,128.9890241
신재초등학교,부산광역시 해운대구 해운대로81번길 81,35.19112654,129.1246547
해운대여자고등학교,부산광역시 해운대구 우동1로85번길 71,35.16960195,129.1530235
재송여자중학교,부산광역시 해운대구 재반로84번길 148,35.18984281,129.1310174
송수초등학교,부산광역시 해운대구 해운대로76번길 35,35.189884,129.1192592
주학초등학교,부산광역시 사상구 가야대로366번길 120,35.14606624,129.0121591
부산진고등학교,부산광역시 부산진구 성지로94번길 54,35.17978878,129.0552176
덕포초등학교,부산광역시 사상구 삼덕로 83,35.17393184,128.9860278
청동초등학교,부산광역시 영도구 태종로 422번길 51,35.08811888,129.0673548
온샘초등학교,부산광역시 동래구 충렬대로75번길 25,35.20952094,129.0687106
동아공업고등학교,부산광역시 사하구 괴정로260번길 79,35.09322008,128.9884286
동일중앙초등학교,부산광역시 동구 구봉로 46,35.12451406,129.036772
건국고등학교,부산광역시 사하구 승학로17번길,35.10952808,128.9696164
명진초등학교,부산광역시 북구 화명신도시로 159,35.23855895,129.0104449
백운초등학교,부산광역시 남구 동명로 76,35.11830866,129.1055296
부산동여자중학교,부산광역시 동구 망양로 773,35.13205195,129.0419031
양운고등학교,부산광역시 해운대구 양운로 176,35.17786581,129.1705491
금성고등학교,부산광역시 동구 증산로 83,35.13463713,129.0515092
민락초등학교,부산광역시 수영구 광남로257번길 12,35.16094672,129.1269417
동주초등학교,부산광역시 사상구 가야대로306번길 72,35.14713448,129.0055597
부산진초등학교,부산광역시 부산진구 범천로 30,35.149993,129.056265
동래초등학교,부산광역시 금정구 체육공원로44번길 26,35.2471077,129.0984813
하단초등학교,부산광역시 사하구 하신중앙로 321,35.10545886,128.9648646
배산초등학교,부산광역시 수영구 망미배산로48번길 85-15,35.17716124,129.1019367
사상초등학교,부산광역시 사상구 운산로 65,35.16761073,128.9828439
감천초등학교,부산광역시 사하구 원양로 368-2,35.08257424,129.0071932
남부민초등학교,부산광역시 서구 천마로 153,35.08941857,129.0233325
해강초등학교,부산광역시 해운대구 해운대해변로 73,35.16215501,129.1417212
광무여자중학교,부산광역시 부산진구 백양관문로 31,35.16205208,129.0297927
부산관광고등학교,부산광역시 서구 천마로 52,35.08250055,129.0222269
부산삼육초등학교,부산광역시 금정구 금정도서관로 17,35.27276329,129.0947495
부산공업고등학교,부산광역시 남구 수영로196번길 80,35.13016741,129.0876872
일광중학교,부산광역시 기장군 일광면 해빛3로 99,35.26522711,129.2204614
경원고등학교,부산광역시 부산진구 백양관문로 40,35.16371025,129.0318871
동주중학교,부산광역시 사상구 주례로 107,35.14590297,129.0039409
남명초등학교,부산광역시 강서구 명지오션시티11로 132,35.08403561,128.9105908
한국조형예술고등학교,부산광역시 남구 동명로169번길 38,35.12048796,129.1165597
명호초등학교,부산광역시 강서구 명지오션시티2로 41,35.08526967,128.9004096
효림초등학교,부산광역시 사하구 장평로 106,35.07537995,128.9741021
동주여자고등학교,부산광역시 중구 광복중앙로 18,35.10097077,129.0313539
서동초등학교,부산광역시 금정구 동현로 147,35.21911398,129.0968813
금사중학교,부산광역시 금정구 서금로 53-7,35.22098889,129.1067397
장평중학교,부산광역시 사하구 사하로 134-1,35.09396796,128.9944685
부산장안고등학교,부산광역시 기장군 장안읍 장안고길 8-16,35.31875901,129.2361258
재송중학교,부산광역시 해운대구 재반로165번길 16,35.19316189,129.128547
괘법초등학교,부산광역시 사상구 사상로161번길 8,35.16018215,128.9857978
다선중학교,부산광역시 사하구 다대낙조2길 36,35.05271729,128.9637818
대평초등학교,부산광역시 영도구 절영로 82,35.08753561,129.0388823
가평초등학교,부산광역시 부산진구 가야대로482번길 87,35.14885285,129.0257667
