"읍면동별(1)",읍면동별(2),세대 (세대),인구 (명),인구 (명),인구 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),65세이상 고령자 (명)
"읍면동별(1)",읍면동별(2),소계,소계,남,여,소계,남,여,소계,남,여,소계
"해운대구",반여4동,6079,16123,7947,8176,16083,7937,8146,40,10,30,2594
"해운대구",반송1동,7905,14516,7254,7262,13816,6920,6896,700,334,366,4440
"해운대구",반송2동,11966,23412,11361,12051,23270,11315,11955,142,46,96,7218
"해운대구",재송1동,14664,38016,18693,19323,37812,18588,19224,204,105,99,4861
"해운대구",재송2동,11493,24851,12126,12725,24725,12079,12646,126,47,79,4976
"사하구",소계,139604,310195,154681,155514,306003,152197,153806,4192,2484,1708,62278
"사하구",괴정1동,8722,19647,9427,10220,19535,9381,10154,112,46,66,4786
"사하구",괴정2동,6306,14092,6897,7195,14022,6868,7154,70,29,41,3465
"사하구",괴정3동,6449,12551,5993,6558,12474,5965,6509,77,28,49,3370
"사하구",괴정4동,5553,12331,5982,6349,12258,5950,6308,73,32,41,2869
"사하구",당리동,11445,26697,13028,13669,26557,12977,13580,140,51,89,5531
"사하구",하단1동,10401,21761,10819,10942,21531,10739,10792,230,80,150,3896
"사하구",하단2동,12871,25799,12849,12950,25356,12632,12724,443,217,226,4141
"사하구",신평1동,8258,17362,9057,8305,16925,8750,8175,437,307,130,3701
"사하구",신평2동,6733,16033,8084,7949,15747,7879,7868,286,205,81,2521
"사하구",장림1동,4963,11332,6026,5306,10720,5551,5169,612,475,137,1953
"사하구",장림2동,11876,27728,14089,13639,27335,13882,13453,393,207,186,4709
"사하구",다대1동,17011,39550,19959,19591,38840,19440,19400,710,519,191,6987
"사하구",다대2동,12153,27483,13477,14006,27296,13411,13885,187,66,121,5762
"사하구",구평동,5228,13058,6688,6370,12900,6586,6314,158,102,56,1765
"사하구",감천1동,8294,18798,9255,9543,18576,9142,9434,222,113,109,4594
"사하구",감천2동,3341,5973,3051,2922,5931,3044,2887,42,7,35,2228
"금정구",소계,108070,231996,113067,118929,228049,111513,116536,3947,1554,2393,50401
"금정구",서1동,3174,5334,2753,2581,5315,2747,2568,19,6,13,1720
"금정구",서2동,4958,9280,4616,4664,9218,4600,4618,62,16,46,2436
"금정구",서3동,5957,11307,5633,5674,11231,5607,5624,76,26,50,3211
"금정구",금사회동동,4168,8053,4256,3797,7885,4154,3731,168,102,66,2364
"금정구",부곡1동,4479,8307,3990,4317,8244,3968,4276,63,22,41,2641
"금정구",부곡2동,7954,18064,8612,9452,17983,8579,9404,81,33,48,3583
"금정구",부곡3동,6875,15893,7652,8241,15789,7605,8184,104,47,57,3037
"금정구",부곡4동,6124,12916,6205,6711,12839,6182,6657,77,23,54,3417
"금정구",장전1동,10811,19572,10110,9462,18053,9415,8638,1519,695,824,2673
"금정구",장전2동,11715,27355,13134,14221,26706,12886,13820,649,248,401,4692
"금정구",선두구동,1275,2341,1256,1085,2331,1249,1082,10,7,3,753
"금정구",청룡노포동,4398,9797,4780,5017,9733,4762,4971,64,18,46,2786
"금정구",남산동,14174,29703,14315,15388,28867,14072,14795,836,243,593,6782
"금정구",구서1동,8075,19783,9385,10398,19695,9357,10338,88,28,60,3579
"금정구",구서2동,13457,33238,15868,17370,33114,15829,17285,124,39,85,6450
"금정구",금성동,476,1053,502,551,1046,501,545,7,1,6,277
"강서구",소계,61502,147347,77658,69689,142918,74047,68871,4429,3611,818,17845
"강서구",대저1동,3740,6707,3708,2999,6556,3593,2963,151,115,36,2241
"강서구",대저2동,3726,7201,4072,3129,7090,3986,3104,111,86,25,1689
"강서구",강동동,2527,4346,2361,1985,4220,2264,1956,126,97,29,1505
"강서구",명지1동,20640,53402,26858,26544,53087,26708,26379,315,150,165,3784
"강서구",명지2동,10307,30573,15229,15344,30409,15173,15236,164,56,108,2328
"강서구",가락동,1353,2424,1317,1107,2345,1251,1094,79,66,13,932
"강서구",녹산동,16742,38719,22028,16691,35270,19002,16268,3449,3026,423,4165
"강서구",가덕도동,2467,3975,2085,1890,3941,2070,1871,34,15,19,1201
"연제구",소계,93606,208050,100107,107943,207144,99761,107383,906,346,560,42313
"연제구",거제1동,11391,29302,14152,15150,29232,14122,15110,70,30,40,5072
"연제구",거제2동,4562,12267,5829,6438,12232,5817,6415,35,12,23,2101
"연제구",거제3동,4706,10028,4752,5276,9988,4734,5254,40,18,22,2858
"연제구",거제4동,4166,10462,5129,5333,10429,5120,5309,33,9,24,2197
"연제구",연산1동,7161,16853,8218,8635,16775,8186,8589,78,32,46,3410
"연제구",연산2동,9195,20749,9969,10780,20674,9944,10730,75,25,50,3877
"연제구",연산3동,4552,9214,4463,4751,9160,4440,4720,54,23,31,2335
"연제구",연산4동,8595,16264,7836,8428,16154,7798,8356,110,38,72,3959
